,FullName,SegmentID,CD,CS_RoundSc_Q1_2016,CS_RoundSc_Q4_2016,CS_RoundSc_Q4_2017,Miles,SanDist,LAPD_Grid,Cat_Q1_2016,Cat_Q4_2016,Cat_Q4_2017
35457,Alley,39069,14,1,1,1,0.027247130305304,NC,1107,Clean,Clean,Clean
35458,Alley,39070,14,1,1,2,0.066191587225252,NC,1112,Clean,Clean,Somewhat Clean
35459,Alley,39071,14,2,2,1,0.137913284867866,NC,1107,Somewhat Clean,Somewhat Clean,Clean
35460,Alley,39072,14,1,1,1,0.054144984815644,NC,1117,Clean,Clean,Clean
35461,Alley,39073,14,1,1,1,0.051308992701571,NC,1112,Clean,Clean,Clean
35462,Alley,39074,14,0,1,1,0.083188426617525,0,1119,Not Evaluated,Clean,Clean
35463,Alley,39075,4,0,1,1,0.064961487595463,0,615,Not Evaluated,Clean,Clean
35464,Alley,39076,14,1,1,1,0.045976786884843,NC,1107,Clean,Clean,Clean
35465,Alley,39077,13,1,1,1,0.029355875505003,NC,1102,Clean,Clean,Clean
35466,Alley,39078,14,2,1,1,0.027035754241215,NC,1128,Somewhat Clean,Clean,Clean
35467,Alley,39079,14,1,1,1,0.071492889805248,NC,1107,Clean,Clean,Clean
35468,Alley,39080,1,0,1,1,0.093677512404442,0,1136,Not Evaluated,Clean,Clean
35469,Alley,39082,1,1,1,1,0.053181949876032,NC,1136,Clean,Clean,Clean
35470,Alley,39083,1,3,3,1,0.120507012235364,NC,1126,Not Clean,Not Clean,Clean
35471,Alley,39084,14,2,1,1,0.036000883081988,NC,1128,Somewhat Clean,Clean,Clean
35472,Alley,39085,4,0,1,1,0.027534402227543,0,1132,Not Evaluated,Clean,Clean
35473,Alley,39086,4,1,1,1,0.062681848373116,EV,1569,Clean,Clean,Clean
35474,Alley,39087,4,1,1,1,0.062770226187143,EV,1569,Clean,Clean,Clean
35475,Alley,39088,4,1,1,1,0.035023696014028,EV,1569,Clean,Clean,Clean
35476,Alley,39089,4,1,1,1,0.031740703353983,EV,1567,Clean,Clean,Clean
35477,Alley,39090,2,1,1,1,0.060622389550656,EV,979,Clean,Clean,Clean
35478,Alley,39091,4,1,1,1,0.030314784056325,EV,979,Clean,Clean,Clean
35479,Alley,39092,4,2,1,1,0.062508469308147,EV,979,Somewhat Clean,Clean,Clean
35480,Alley,39093,2,2,1,1,0.061479672392996,EV,1563,Somewhat Clean,Clean,Clean
35481,Alley,39094,2,1,1,1,0.031255750882451,EV,1563,Clean,Clean,Clean
35482,Alley,39095,2,1,1,1,0.04961625281475,EV,1565,Clean,Clean,Clean
35483,Alley,39096,4,1,1,1,0.093267235754324,EV,1569,Clean,Clean,Clean
35484,Alley,39097,1,1,1,1,0.033705530850169,NC,1178,Clean,Clean,Clean
35485,Alley,39098,14,0,1,1,0.057710260859774,0,408,Not Evaluated,Clean,Clean
35486,Alley,39099,1,0,1,1,0.047293271137705,0,1158,Not Evaluated,Clean,Clean
35487,Alley,39100,13,0,1,1,0.060605047276885,0,201,Not Evaluated,Clean,Clean
35488,,39101,13,1,1,1,0.09572489829878,NC,1174,Clean,Clean,Clean
35489,Alley,39102,1,1,1,1,0.02200469897353,NC,1179,Clean,Clean,Clean
35490,Alley,39103,1,1,1,1,0.047365978303466,NC,1177,Clean,Clean,Clean
35491,,39105,13,1,1,1,0.033118364353937,NC,1174,Clean,Clean,Clean
35492,Alley,39106,1,1,1,1,0.023621826031805,NC,1179,Clean,Clean,Clean
35493,Alley,39107,13,2,2,2,0.124511107328413,NC,656,Somewhat Clean,Somewhat Clean,Somewhat Clean
